GRID_CODE;JSOW;JRIP
40080;73.45914459;-9999
40081;80.73874664;-9999
40082;85.78266144;-9999
40083;90.24223328;-9999
41030;61.60018539;202.0088196
41031;61.38619995;201.8178558
41032;61;201.3486176
41033;61;201
41034;61;201
41035;61.29005051;201.2751312
41036;61.34358215;201.3259125
41037;61.05641556;200.9403534
41038;61;200.5684814
41039;61;200.6160583
41040;61;200.9684296
41041;61.45294571;201.2264709
41042;62.04857254;201.524292
41043;62.54900742;201.7745056
41044;62.80643845;201.9032135
41045;62.95531464;202.1394501
41046;62.87145615;202.5849304
41047;62.74179459;202.7258911
41048;63.16957092;202.9838409
41049;63.76378632;203.4459991
41051;66.74030304;205.8298035
41051;65.93534088;205.3474121
41051;65.78358459;205.0450134
41052;67.05341339;206.7575989
41053;67.65533447;207.6387787
41053;66.99459076;206.9940796
41054;68.68945313;208.5548401
41060;65.45404053;205.5771179
41061;64.37538147;204.9501495
41062;63.60134888;204.6405334
41063;62.69329071;204.3453979
41064;61.65049744;204.1201935
41065;60.68713379;203.9350128
41069;59.1825676;203.5954132
41070;56.34748077;204.3998871
41070;57.80682373;204.2120209
41071;55.23928833;205.8102264
41072;53.96437073;208.968811
41073;52.67746735;-9999
41074;51.73557663;-9999
41075;51.05421829;-9999
41076;50.09225082;-9999
41077;50.71768188;-9999
41078;56.37234879;-9999
41079;63.16159058;-9999
41080;69.78501892;-9999
41081;77.19161987;-9999
41082;81.70144653;-9999
41083;85.03195953;-9999
41084;89.0756073;-9999
41085;87.1289978;-9999
42030;62.50785446;203.1671753
42031;61.7443924;202.7122498
42032;61.27811432;202.1956787
42033;61.27544022;201.7001801
42034;61.3687973;201.3563385
42035;61.71622086;201.6793823
42036;61.87265015;201.8277588
42037;61.49030304;201.3827209
42038;61.1340332;200.3813477
42039;61.01184464;200.0135956
42040;61.4519577;200.6080322
42041;62.02900314;201.3141327
42042;62.71947861;201.8535919
42043;63.23059464;202.2305908
42044;63.54452133;202.5445251
42045;63.82022095;202.708252
42046;63.82334518;203.1209564
42047;64.00047302;204.1636505
42048;64.36330414;204.616684
42049;64.68528748;204.5122833
42050;65.64611053;205.1724548
42051;66.85149384;206.2972412
42052;67.63381958;207.2763062
42053;68.44180298;208.4409943
42054;69.75730133;209.5593872
42055;70.63385773;210.6845703
42056;71.22034454;211.2009735
42059;69.28139496;208.5069885
42060;67.83331299;206.833313
42061;66.57050323;205.8298035
42062;65.43505859;205.5539398
42063;64.37319946;205.30159
42064;63.34705734;205.0755157
42065;62.26588058;204.6938934
42068;60.18319321;203.9438782
42069;58.79388428;203.3969421
42070;57.27746582;203.9224548
42070;57.9837532;203.8601532
42071;56.65490723;204.4901123
42072;55.94916916;205.3075409
42073;55.52846909;206.78862
42074;54.48787689;208.5363617
42075;53.40878296;-9999
42076;52.94512177;-9999
42077;53.13373947;-9999
42078;54.20783997;-9999
42079;59.143013;-9999
42080;66.39285278;-9999
42081;73.43228912;-9999
42082;77.03504181;-9999
42083;79.66425323;-9999
42084;83.89237213;-9999
42085;86.61927795;-9999
42086;83.91708374;-9999
43031;63.31047058;203.6066437
43032;62.87956238;203.5468292
43033;62.51663589;202.8582916
43034;62.87506104;202.8710632
43035;62.48973846;202.4434814
43036;62.28261566;202.2188568
43037;61.83993912;201.7444458
43038;61.21030426;200.4169617
43039;61.2364769;200.2850189
43040;62.0135231;201.0196533
43041;62.86066818;202.1688385
43042;63.49721909;203.1198273
43043;63.95413589;203.5047607
43044;64.33946991;203.3543549
43045;64.59844971;203.7177734
43046;64.96110535;204.0822296
43047;65.31425476;205.0214386
43048;65.69546509;206.5486908
43049;65.8990097;206.6229248
43050;66.6530838;206.8558655
43051;67.97380066;207.992691
43052;68.3181839;208.6886139
43053;69.46443176;209.4644318
43054;70.52913666;210.5291443
43055;71.354599;211.660965
43056;72.070755;212.4091187
43057;73.13089752;213.348938
43057;73.62349701;213.6133728
43058;72.34551239;212.3243866
43059;71.02591705;210.6579132
43060;70.02196503;209.1006622
43061;69.02606964;207.5947723
43062;68.0255661;207.0069122
43063;66.74123383;206.3617706
43064;65.14508057;205.719162
43067;63.59587479;205.40625
43067;63.13366318;205.0972595
43068;62.03992462;204.9055939
43069;61.14891815;204.9114532
43070;60.52254868;205.1165466
43071;60.16274643;205.5270538
43072;58.96992874;204.5431976
43073;58.7539444;205.4344177
43074;56.88305664;204.3985596
43075;55.72911835;205.393692
43076;54.67506027;207.3932953
43077;55.33400726;212.6588287
43078;55.35681915;-9999
43079;58.5773201;-9999
43080;63.38581085;-9999
43081;69.25205994;-9999
43082;71.94449615;-9999
43083;74.72866821;-9999
43084;78.7069931;-9999
43085;82.64448547;-9999
43086;80.30487823;-9999
43087;72.12004852;-9999
43088;68.87660217;-9999
44031;65.35494995;-9999
44032;64.28902435;204.6752319
44033;63.80191422;203.9766235
44034;63.77096558;203.7709656
44035;63.55171967;203.5280762
44041;64.1648407;203.7373352
44042;64.68475342;204.4679565
44043;65.10246277;204.4916382
44044;65.18180847;204.4728088
44045;65.75325012;205.2273254
44046;66.11463928;205.7006989
44047;66.07902527;206.3482971
44048;66.75228119;207.7408905
44049;67.17420197;208.1742096
44050;68.16021729;208.5847626
44051;69.05252838;209.1042633
44052;69.58576202;209.8823242
44053;70.4947052;210.6821442
44054;71.46466827;211.6928864
44055;72.27194214;212.9888916
44056;73.29136658;213.9655762
44057;73.91607666;214.447464
