GRID_CODE;JSOW;JRIP
19047;285.9941406;118.8571167
19048;284.3143005;117.8259125
19049;282.6344604;116.7947006
19050;280.9546509;115.7634888
19051;279.5988159;114.663887
19052;279.2323303;113.3554993
19053;281.5474243;116.2120972
19054;287.4619141;119.2542114
19055;293.2237549;129.6601105
19056;298.9856262;140.0660095
19057;310.7972107;136.1025238
19058;320.8231812;130.1285858
19059;331.7715149;124.0240021
19060;343.7498474;116.930687
19061;345.2079468;119.0320969
19062;344.1134033;121.4464111
19062;343.5487061;122.8164673
20023;334.2061768;166.312439
20024;334.5189514;163.1407776
20025;334.5860291;158.2828827
20026;335.0251465;157.6224823
20027;335.4248962;155.1760406
20028;335.6260681;152.729599
20029;335.8669739;149.2463226
20030;335.7987976;149.068985
20031;335.7306519;148.8916473
20032;335.032135;149.6908569
20033;334.106781;150.2462158
20034;333.181427;150.80159
20035;331.2495117;151.4537048
20036;326.8048096;152.3473206
20037;319.8511963;150.1669617
20038;304.7430725;137.9955292
20039;290.1689758;126.7062836
20040;283.5622559;128.0656738
20041;285.2160034;133.7650146
20042;287.1218872;139.8066864
20043;288.6076965;144.4246063
20044;286.6374512;138.4935455
20045;285.1526184;132.138443
20046;283.6677856;125.7833481
20047;282.0600281;122.7837524
20048;281.1730042;121.5852127
20049;280.8065186;120.2768173
20050;280.440033;118.9684296
20051;280.0735474;117.6600266
20052;279.8031311;116.818779
20053;280.2669373;119.6229935
20054;282.1459351;131.5563812
20055;284.0249634;143.4897766
20056;290.1596375;152.6165161
20057;304.9012756;142.6170197
20058;320.1103821;133.6634979
20059;334.7396851;126.5249481
20060;344.5299683;120.5575867
20061;342.0022888;127.6166611
20061;343.2455139;123.7759933
21023;333.4267273;168.6727142
21024;333.5722961;167.3469238
21025;333.6142578;162.6992188
21026;334.0834656;163.0163574
21027;334.5554199;161.1454926
21028;335.03479;157.8132935
21029;335.3916016;154.7510529
21030;335.0783997;152.3730927
21031;334.6759644;151.4336548
21032;333.2752686;153.4925385
21033;331.7857971;155.3237305
21034;330.8604431;155.8790894
21035;327.4771729;156.6707001
21036;323.0324707;157.5643311
21037;318.2269592;158.0158386
21038;303.1188354;145.8444214
21039;291.8886108;140.0794678
21040;285.8238525;140.9980621
21041;287.0572205;149.4985657
21042;288.7861023;153.918869
21043;291.1463623;150.4047546
21044;289.9635925;144.2307892
21045;288.7808228;138.056839
21046;286.0771179;132.0433197
21047;282.4921265;127.7466202
21048;281.6477356;124.5813599
21049;281.28125;123.2729568
21050;280.9147644;121.9645691
21051;280.5482788;120.6561737
21052;280.4077759;120.4465714
21053;281.7986755;129.231308
21054;283.6777039;141.1647034
21055;287.0008545;158.6239319
